idDM,NameDM,LocationDM,PhoneDM,EmailDM,OpenningHours,WebsiteDM
29,dm-Han,"Essen 0201","+49 966-4563910",u+@dm.de,"07:17 PM - 03:11 PM",https://www.dm.de
30,dm-DUS,"Hamburg 040","+49 569-1572982",5+@dm.de,"11:54 PM - 04:40 PM",https://www.dm.de
31,dm-NG,"Munich 089","+49 000-4983758",2+@dm.de,"02:54 PM - 00:43 PM",https://www.dm.de
32,dm-NG,"Rosenheim 08031","+49 473-6923230",S+@dm.de,"01:05 AM - 03:41 PM",https://www.dm.de
33,dm-RO,"Munich 089","+49 083-1412592",3+@dm.de,"11:59 AM - 11:17 AM",https://www.dm.de
34,dm-RAS,"Cologne 0221","+49 598-3174093",q+@dm.de,"09:04 PM - 11:03 AM",https://www.dm.de
35,dm-RAS,"Bad Staffelstein 09573","+49 052-8074941",n+@dm.de,"02:33 PM - 12:14 AM",https://www.dm.de
36,dm-J,"Ulm 07346","+49 112-4828543",G+@dm.de,"03:34 AM - 11:44 PM",https://www.dm.de
37,dm-RAS,"Cologne 0221","+49 177-7672889",f+@dm.de,"11:14 PM - 05:34 AM",https://www.dm.de
38,dm-B,"Karlsruhe 0721","+49 093-0418441",3+@dm.de,"00:05 PM - 04:12 AM",https://www.dm.de
39,dm-J,"Konstanz 07531","+49 515-0539219",x+@dm.de,"12:24 AM - 12:45 PM",https://www.dm.de
40,dm-KE,"Rostock 0381","+49 142-9059689",9+@dm.de,"11:18 PM - 12:30 AM",https://www.dm.de
41,dm-R,"Stuttgart 0711","+49 821-9915110",9+@dm.de,"12:36 AM - 01:50 AM",https://www.dm.de
42,dm-LS,"Duesseldorf 0211","+49 862-1258358",Q+@dm.de,"11:22 PM - 09:05 AM",https://www.dm.de
43,dm-BS,"Moenchengladbach 02161","+49 428-7271894",l+@dm.de,"12:14 PM - 07:00 AM",https://www.dm.de
44,dm-RAS,"Leipzig 0341","+49 310-8961661",G+@dm.de,"03:05 PM - 10:07 AM",https://www.dm.de
45,dm-RAS,"Lichtenfels 09571","+49 146-3553682",m+@dm.de,"07:52 AM - 03:03 AM",https://www.dm.de
46,dm-DUS,"Nuernberg 0911","+49 353-8390346",M+@dm.de,"05:45 PM - 03:07 PM",https://www.dm.de
47,dm-LS,"Karlsruhe 0721","+49 331-2616879",E+@dm.de,"12:39 PM - 11:07 AM",https://www.dm.de
48,dm-BS,"Cologne 0221","+49 602-6843869",Y+@dm.de,"03:52 PM - 02:31 AM",https://www.dm.de
49,dm-BA,"Nuernberg 0911","+49 593-2768110",3+@dm.de,"06:49 PM - 12:33 PM",https://www.dm.de
50,dm-RAS,"Kiel 0431","+49 217-1025455",1+@dm.de,"04:17 AM - 03:30 AM",https://www.dm.de
51,dm-MU,"Karlsruhe 0721","+49 793-3228185",b+@dm.de,"12:39 PM - 12:09 AM",https://www.dm.de
52,dm-BA,"Hamburg 040","+49 527-0827704",V+@dm.de,"12:57 PM - 00:15 PM",https://www.dm.de
53,dm-LZ,"Weimar 03643","+49 097-3922631",r+@dm.de,"10:56 PM - 04:43 AM",https://www.dm.de
54,dm-LS,"Augsburg 0821","+49 429-7600606",B+@dm.de,"10:55 AM - 11:48 PM",https://www.dm.de
55,dm-NG,"Rosenheim 08031","+49 868-6754102",L+@dm.de,"09:05 AM - 11:18 PM",https://www.dm.de
56,dm-R,"Essen 0201","+49 936-2556804",w+@dm.de,"10:40 AM - 10:25 AM",https://www.dm.de
57,dm-HG,"Hamburg 040","+49 720-7147101",7+@dm.de,"09:23 AM - 10:35 PM",https://www.dm.de
58,dm-DUS,"Hamburg 040","+49 486-4032774",O+@dm.de,"11:27 PM - 06:53 PM",https://www.dm.de
59,dm-J,"Cologne 0221","+49 031-7495406",c+@dm.de,"04:51 PM - 00:16 AM",https://www.dm.de
60,dm-BA,"Essen 0201","+49 242-8750876",2+@dm.de,"10:29 AM - 08:42 AM",https://www.dm.de
61,dm-DD,"Hannover 0511","+49 137-8174666",P+@dm.de,"00:22 AM - 11:20 AM",https://www.dm.de
62,dm-LS,"Moenchengladbach 02161","+49 456-1574255",7+@dm.de,"11:26 AM - 12:08 AM",https://www.dm.de
63,dm-Han,"Konstanz 07531","+49 799-7521818",R+@dm.de,"12:35 PM - 02:54 PM",https://www.dm.de
64,dm-MM,"Mannheim 0621","+49 515-0203901",e+@dm.de,"12:43 AM - 07:09 PM",https://www.dm.de
65,dm-HG,"Augsburg 0821","+49 147-4540541",j+@dm.de,"05:37 PM - 11:00 AM",https://www.dm.de
66,dm-LZ,"Rosenheim 08031","+49 014-6924976",S+@dm.de,"10:48 AM - 11:49 AM",https://www.dm.de
67,dm-LS,"Nuernberg 0911","+49 868-2254529",N+@dm.de,"07:39 AM - 12:25 PM",https://www.dm.de
68,"dm-W dm-E","Mannheim 0621","+49 902-2654859",Y+@dm.de,"01:19 AM - 10:11 PM",https://www.dm.de
69,dm-MM,"Mannheim 0621","+49 417-2866794",y+@dm.de,"08:21 AM - 00:57 PM",https://www.dm.de
70,dm-U,"Rosenheim 08031","+49 042-0265171",7+@dm.de,"11:22 PM - 07:42 PM",https://www.dm.de
71,dm-AG,"Frankfurt 069","+49 536-8879925",7+@dm.de,"00:53 PM - 08:41 AM",https://www.dm.de
72,dm-Han,"Heidelberg 06221","+49 487-4410365",n+@dm.de,"10:40 PM - 10:34 AM",https://www.dm.de
73,dm-J,"Leipzig 0341","+49 117-7524105",e+@dm.de,"02:27 PM - 12:30 AM",https://www.dm.de
74,dm-ST,"Munich 089","+49 272-8855442",R+@dm.de,"06:15 AM - 09:14 PM",https://www.dm.de
75,dm-MM,"Rosenheim 08031","+49 929-3296533",j+@dm.de,"09:56 PM - 06:51 PM",https://www.dm.de
76,dm-DD,"Jena 03641","+49 948-1803551",B+@dm.de,"01:10 AM - 12:59 AM",https://www.dm.de
77,dm-DD,"Lichtenfels 09571","+49 792-2184722",u+@dm.de,"04:25 AM - 00:28 AM",https://www.dm.de
78,dm-Han,"Berlin 030","+49 841-3092397",h+@dm.de,"10:34 AM - 04:29 AM",https://www.dm.de
79,dm-HA,"Jena 03641","+49 116-6267110",p+@dm.de,"01:46 AM - 10:25 PM",https://www.dm.de
80,dm-DD,"Lichtenfels 09571","+49 957-1603124",m+@dm.de,"12:49 AM - 06:27 PM",https://www.dm.de
81,dm-MCHG,"Rostock 0381","+49 681-6539886",8+@dm.de,"01:01 AM - 12:42 AM",https://www.dm.de
82,dm-HA,"Moenchengladbach 02161","+49 314-9511645",O+@dm.de,"02:16 PM - 10:19 PM",https://www.dm.de
83,dm-B,"Stuttgart 0711","+49 438-0750682",E+@dm.de,"11:45 PM - 12:09 PM",https://www.dm.de
84,dm-KE,"Rostock 0381","+49 880-3606548",L+@dm.de,"10:50 PM - 10:42 PM",https://www.dm.de
85,"dm-W dm-E","Frankfurt 069","+49 117-9914408",2+@dm.de,"12:35 AM - 11:38 AM",https://www.dm.de
86,dm-MM,"Ulm 07346","+49 345-8074548",w+@dm.de,"00:00 PM - 07:18 AM",https://www.dm.de
87,dm-U,"Kiel 0431","+49 300-2993280",C+@dm.de,"00:10 AM - 04:59 AM",https://www.dm.de
88,dm-LZ,"Berlin 030","+49 291-4839244",t+@dm.de,"10:00 PM - 09:19 PM",https://www.dm.de
89,dm-MCHG,"Cologne 0221","+49 767-8349283",s+@dm.de,"10:36 PM - 10:40 AM",https://www.dm.de
90,dm-AG,"Duesseldorf 0211","+49 487-9322218",6+@dm.de,"07:32 PM - 07:10 PM",https://www.dm.de
91,dm-NG,"Essen 0201","+49 395-8411950",m+@dm.de,"01:56 AM - 08:36 AM",https://www.dm.de
92,dm-NG,"Lichtenfels 09571","+49 804-7942607",5+@dm.de,"09:04 PM - 11:34 PM",https://www.dm.de
93,dm-RAS,"Moenchengladbach 02161","+49 898-5622120",r+@dm.de,"11:35 AM - 01:18 AM",https://www.dm.de
94,dm-BA,"Duesseldorf 0211","+49 716-7508018",N+@dm.de,"11:08 PM - 10:45 PM",https://www.dm.de
95,dm-DD,"Stuttgart 0711","+49 921-8348053",5+@dm.de,"08:45 PM - 12:58 PM",https://www.dm.de
96,dm-LS,"Augsburg 0821","+49 927-5432072",Y+@dm.de,"12:14 PM - 07:53 PM",https://www.dm.de
97,dm-B,"Weimar 03643","+49 414-1751739",1+@dm.de,"12:05 PM - 03:46 PM",https://www.dm.de
98,dm-RO,"Karlsruhe 0721","+49 481-7378818",8+@dm.de,"12:49 PM - 05:33 AM",https://www.dm.de
99,dm-KE,"Bad Staffelstein 09573","+49 406-8617059",p+@dm.de,"11:50 AM - 00:58 PM",https://www.dm.de
100,dm-KO,"Mannheim 0621","+49 559-9019494",H+@dm.de,"07:36 PM - 07:44 AM",https://www.dm.de
